区域 发货量
清涧 270000
枣庄西 265210
汕头北 262370
襄阳东 258000
临颍 250000
怀仁 250000
确山 248000
茂名西 247800
兴义 244670
大石桥 240000
广德 240000
明光 240000
临城 240000
平桥 240000
寨隆 240000
隆安 236860
南充东 230960
武威南 224380
青岛港 222000
云梦 222000
正定 221200
卫星 220000
西宁 220000
库尔勒 220000
新贤城 216200
横店 209976
随州 206820
算王庄 205000
佛山东 202860
甘谷 200000
济西 199780
德令哈 198000
冠豸山 197760
白市驿 192000
天义 189000
二连 187350
弄弄坪 182000
荆门东 180730
山海关 180000
临泽 180000
深州 179000
蔡家坡 179000
乌拉泊 178000
景德镇南 174000
聊城 168420
玉田县 168000
洛阳 165000
西宁东 165000
鹤北 165000
何家湾 164000
三明 159848
牡丹江 159000
南阳寨 157900
柳屯 150000
舵落口 144110
砀山 143000
珠海西 137334
改貌 135473
东营 128940
乌海西 128000
桐城 126970
济源 123200
海拉尔 120000
白城 120000
平南 120000
霍尔果斯 120000
枝城 120000
修武 120000
河唇 119527
绍兴东 118540
包头西 115500
酒泉 115000
济宁 114980
雷州 114000
庆安 112000
永康 111000
向塘 111000
莆田东 111000
鸡西 110000
镇海西 110000
河源 110000
嘉峪关 110000
香兰 110000
应城东 110000
丁山 110000
承德 110000
三塘 110000
西昌南 110000
双寨 110000
迎春 110000
商洛 110000
介休 108000
中鼎物流园 108000
北海 108000
四合永 105000
东明县 104000
苏家屯 102500
汝州 101000
绵阳北 98870
磁窑 98000
七里营 95000
荆门南 94000
晋州 88100
张家山 85631
玉山 81000
哈业胡同 80000
白浪 79560
新乡西 76000
紫金山 75000
南通东 72800
眉山 72707
中原 70000
柴沟堡 70000
武夷山 69000
钟祥 63000
武昌东 62000
高密 61050
孝感 61000
郑州北 60500
封丘 60000
百善 60000
祁县 60000
杨陵 60000
临汝镇 60000
虢镇 60000
繁峙 60000
宣威 60000
长葛 60000
兰考 60000
嘉祥 60000
潮安 60000
夏邑县 60000
殷庄 60000
获嘉 60000
袁北 60000
满洲里(境) 60000
万水泉 60000
密山西 60000
黑台 59000
风陵渡 59000
大山头 59000
克山 59000
八塘 58390
建昌 57000
古田 56000
友谊 55000
红兴隆 55000
丹江 55000
辽阳 55000
天水 55000
咸宁 55000
七台河 54500
拉萨西 54000
王木匠 54000
洋河 50300
海伦 50000
北塘西 50000
安顺 49000
老河口 48000
漯河东 48000
莱西 47100
葫芦岛 47080
德胜 46000
铁山 45000
怀化西 43600
达州 42570
防城港 42080
韶关东 42000
鹤山市 41120
阿拉山口 40876
棠溪 40000
长治北 40000
泰兴 40000
重庆南 37810
范家屯 37000
建瓯 36920
余姚西 36000
内乡 36000
洛阳北 36000
德阳 35615
长兴南 31700
燕岗 31160
莒县 30200
章丘 30000
宿州 30000
贺村 30000
大庆东 30000
贵阳西 30000
铜仁东 28000
静海 27054
长治 27000
钦州港 22000
青州 20000
蛇口 20000
榆次 20000
淮滨 20000
平邑 18200
巢湖西 15000
禹城 11200
上铺 11000
进贤 10000
樟树 9800
盐城北 8500
